#### META INFO: real uav, ramp, 191206T1317+0100
MSG, 247434755, 0880: 00 00 00 00 00 00 00 00 00 00;
MSG, 247434970, 0890: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435039, 0900: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435108, 0910: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435259, 0920: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435438, 0930: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435512, 0940: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435668, 0950: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435737, 0960: 00 00 00 00 00 00 00 00 00 00;
MSG, 247435938, 0970: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436009, 0980: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436157, 0990: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436380, 1000: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436450, 1010: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436520, 1020: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436679, 1030: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436748, 1040: 00 00 00 00 00 00 00 00 00 00;
MSG, 247436954, 1050: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437024, 1060: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437179, 1070: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437249, 1080: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437553, 1090: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437658, 1100: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437755, 1110: 00 00 00 00 00 00 00 00 00 00;
MSG, 247437960, 1120: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438030, 1130: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438180, 1140: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438443, 1150: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438605, 1160: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438688, 1170: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438890, 1180: 00 00 00 00 00 00 00 00 00 00;
MSG, 247438959, 1190: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439112, 1200: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439296, 1210: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439365, 1220: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439437, 1230: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439507, 1240: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439639, 1250: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439709, 1260: 00 00 00 00 00 00 00 00 00 00;
MSG, 247439938, 1270: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440013, 1280: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440165, 1290: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440234, 1300: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440456, 1310: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440613, 1320: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440683, 1330: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440925, 1340: 00 00 00 00 00 00 00 00 00 00;
MSG, 247440995, 1350: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441064, 1360: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441223, 1370: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441497, 1380: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441633, 1390: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441703, 1400: 00 00 00 00 00 00 00 00 00 00;
MSG, 247441930, 1410: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442014, 1420: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442084, 1430: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442451, 1440: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442521, 1450: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442653, 1460: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442723, 1470: 00 00 00 00 00 00 00 00 00 00;
MSG, 247442945, 1480: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443015, 1490: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443164, 1500: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443395, 1510: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443464, 1520: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443599, 1530: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443669, 1540: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443739, 1550: 00 00 00 00 00 00 00 00 00 00;
MSG, 247443966, 1560: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444035, 1570: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444187, 1580: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444257, 1590: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444498, 1600: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444631, 1610: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444700, 1620: 00 00 00 00 00 00 00 00 00 00;
MSG, 247444770, 1630: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445006, 1640: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445076, 1650: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445146, 1660: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445299, 1670: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445521, 1680: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445659, 1690: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445728, 1700: 00 00 00 00 00 00 00 00 00 00;
MSG, 247445930, 1710: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446022, 1720: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446173, 1730: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446395, 1740: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446465, 1750: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446600, 1760: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446670, 1770: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446744, 1780: 00 00 00 00 00 00 00 00 00 00;
MSG, 247446950, 1790: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447041, 1800: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447193, 1810: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447421, 1820: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447491, 1830: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447697, 1840: 00 00 00 00 00 00 00 00 00 00;
MSG, 247447766, 1850: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448005, 1860: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448075, 1870: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448255, 1880: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448325, 1890: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448677, 1900: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448883, 1910: 00 00 00 00 00 00 00 00 00 00;
MSG, 247448959, 1920: 00 00 00 00 00 00 00 00 00 00;
MSG, 247449218, 1930: 00 00 00 00 00 00 00 00 00 00;
MSG, 247449442, 1940: 00 00 00 00 00 00 00 00 00 00;
MSG, 247449515, 1950: 00 00 00 00 00 00 00 00 00 00;
MSG, 247449648, 1960: 00 00 00 00 00 00 00 00 00 00;
